Subject,Start Date,Start Time
KT vs GEN,2021-01-13,17:00
T1 vs HLE,2021-01-13,20:00
NS vs LSB,2021-01-14,17:00
DRX vs AF,2021-01-14,20:00
BRO vs GEN,2021-01-15,17:00
T1 vs DK,2021-01-15,20:00
KT vs LSB,2021-01-16,17:00
DRX vs HLE,2021-01-16,20:00
NS vs DK,2021-01-17,17:00
AF vs BRO,2021-01-17,20:00
AF vs LSB,2021-01-20,17:00
DRX vs NS,2021-01-20,20:00
T1 vs GEN,2021-01-21,17:00
BRO vs DK,2021-01-21,20:00
KT vs HLE,2021-01-22,17:00
DRX vs LSB,2021-01-22,20:00
AF vs DK,2021-01-23,17:00
BRO vs NS,2021-01-23,20:00
KT vs T1,2021-01-24,17:00
HLE vs GEN,2021-01-24,20:00
BRO vs HLE,2021-01-27,17:00
DK vs GEN,2021-01-27,20:00
DRX vs KT,2021-01-28,17:00
T1 vs LSB,2021-01-28,20:00
AF vs NS,2021-01-29,17:00
DK vs HLE,2021-01-29,20:00
DRX vs BRO,2021-01-30,17:00
LSB vs GEN,2021-01-30,20:00
AF vs T1,2021-01-31,17:00
KT vs NS,2021-01-31,20:00
T1 vs NS,2021-02-03,17:00
DRX vs GEN,2021-02-03,20:00
AF vs HLE,2021-02-04,17:00
KT vs BRO,2021-02-04,20:00
LSB vs DK,2021-02-05,17:00
NS vs GEN,2021-02-05,20:00
T1 vs BRO,2021-02-06,17:00
AF vs KT,2021-02-06,20:00
LSB vs HLE,2021-02-07,17:00
DRX vs DK,2021-02-07,20:00
KT vs DK,2021-02-17,17:00
BRO vs LSB,2021-02-17,20:00
NS vs HLE,2021-02-18,17:00
AF vs GEN,2021-02-18,20:00
DRX vs T1,2021-02-19,17:00
KT vs BRO,2021-02-19,20:00
NS vs GEN,2021-02-20,17:00
DK vs HLE,2021-02-20,20:00
DRX vs AF,2021-02-21,17:00
T1 vs LSB,2021-02-21,20:00
T1 vs NS,2021-02-25,17:00
LSB vs DK,2021-02-25,20:00
BRO vs GEN,2021-02-26,17:00
AF vs KT,2021-02-26,20:00
DRX vs HLE,2021-02-27,17:00
T1 vs DK,2021-02-27,20:00
AF vs GEN,2021-02-28,17:00
NS vs LSB,2021-02-28,20:00
DRX vs KT,2021-03-04,17:00
T1 vs BRO,2021-03-04,20:00
NS vs HLE,2021-03-05,17:00
LSB vs GEN,2021-03-05,20:00
AF vs DK,2021-03-06,17:00
KT vs T1,2021-03-06,20:00
DRX vs BRO,2021-03-07,17:00
HLE vs GEN,2021-03-07,20:00
BRO vs DK,2021-03-11,17:00
AF vs HLE,2021-03-11,20:00
KT vs LSB,2021-03-12,17:00
DRX vs NS,2021-03-12,20:00
T1 vs GEN,2021-03-13,17:00
AF vs BRO,2021-03-13,20:00
LSB vs HLE,2021-03-14,17:00
NS vs DK,2021-03-14,20:00
DK vs GEN,2021-03-18,17:00
KT vs HLE,2021-03-18,20:00
AF vs NS,2021-03-19,17:00
DRX vs T1,2021-03-19,20:00
BRO vs LSB,2021-03-20,17:00
KT vs GEN,2021-03-20,20:00
DRX vs DK,2021-03-21,17:00
AF vs T1,2021-03-21,20:00
BRO vs HLE,2021-03-25,17:00
KT vs NS,2021-03-25,20:00
DRX vs GEN,2021-03-26,17:00
AF vs LSB,2021-03-26,20:00
KT vs DK,2021-03-27,17:00
BRO vs NS,2021-03-27,20:00
T1 vs HLE,2021-03-28,17:00
DRX vs LSB,2021-03-28,20:00
NS vs HLE,2021-03-31,17:00
DRX vs T1,2021-04-01,17:00
DK vs HLE,2021-04-03,17:00
GEN vs T1,2021-04-04,18:00
GEN vs DK,2021-04-10,18:00
DK vs C9,2021-05-06,22:00
INF vs DFM,2021-05-06,23:00
RNG vs PGG,2021-05-07,00:00
PGG vs UOL,2021-05-07,01:00
IW vs PNG,2021-05-07,02:00
MAD vs PSG,2021-05-07,03:00
PGG vs RNG,2021-05-07,22:00
UOL vs RNG,2021-05-07,23:00
INF vs DK,2021-05-08,00:00
DFM vs C9,2021-05-08,01:00
IW vs MAD,2021-05-08,02:00
PNG vs PSG,2021-05-08,03:00
RNG vs UOL,2021-05-08,22:00
UOL vs PGG,2021-05-08,23:00
DK vs DFM,2021-05-09,00:00
C9 vs INF,2021-05-09,01:00
MAD vs PNG,2021-05-09,02:00
PSG vs IW,2021-05-09,03:00
UOL vs RNG,2021-05-09,22:00
UOL vs PGG,2021-05-09,23:00
RNG vs PGG,2021-05-10,00:00
RNG vs UOL,2021-05-10,01:00
PGG vs UOL,2021-05-10,02:00
PGG vs RNG,2021-05-10,03:00
MAD vs IW,2021-05-10,22:00
PSG vs PNG,2021-05-10,23:00
IW vs PSG,2021-05-11,00:00
PNG vs MAD,2021-05-11,01:00
PNG vs IW,2021-05-11,02:00
PSG vs MAD,2021-05-11,03:00
C9 vs DK,2021-05-11,22:00
DFM vs INF,2021-05-11,23:00
DK vs INF,2021-05-12,00:00
C9 vs DFM,2021-05-12,01:00
DFM vs DK,2021-05-12,02:00
INF vs C9,2021-05-12,03:00
DK vs RNG,2021-05-14,22:00
MAD vs PGG,2021-05-14,23:00
PSG vs DK,2021-05-15,00:00
RNG vs C9,2021-05-15,01:00
PSG vs PGG,2021-05-15,02:00
C9 vs MAD,2021-05-15,03:00
PGG vs RNG,2021-05-15,22:00
DK vs C9,2021-05-15,23:00
MAD vs RNG,2021-05-16,00:00
C9 vs PSG,2021-05-16,01:00
PGG vs DK,2021-05-16,02:00
MAD vs PSG,2021-05-16,03:00
C9 vs PGG,2021-05-16,22:00
RNG vs PSG,2021-05-16,23:00
DK vs MAD,2021-05-17,00:00
RNG vs PGG,2021-05-17,01:00
C9 vs DK,2021-05-17,02:00
PSG vs MAD,2021-05-17,03:00
PSG vs RNG,2021-05-17,22:00
MAD vs DK,2021-05-17,23:00
C9 vs RNG,2021-05-18,00:00
PGG vs MAD,2021-05-18,01:00
DK vs PSG,2021-05-18,02:00
PGG vs C9,2021-05-18,03:00
RNG vs DK,2021-05-18,22:00
PGG vs PSG,2021-05-18,23:00
RNG vs MAD,2021-05-19,00:00
PSG vs C9,2021-05-19,01:00
DK vs PGG,2021-05-19,02:00
MAD vs C9,2021-05-19,03:00
PSG vs RNG,2021-05-21,22:00
MAD vs DK,2021-05-22,22:00
RNG vs DK,2021-05-23,22:00
LSB vs BRO,2021-06-09,17:00
T1 vs HLE,2021-06-09,20:00
NS vs KT,2021-06-10,17:00
GEN vs DRX,2021-06-10,20:00
BRO vs AF,2021-06-11,17:00
T1 vs DK,2021-06-11,20:00
NS vs LSB,2021-06-12,17:00
HLE vs GEN,2021-06-12,20:00
KT vs DK,2021-06-13,17:00
DRX vs AF,2021-06-13,20:00
NS vs DRX,2021-06-16,17:00
KT vs GEN,2021-06-16,20:00
T1 vs BRO,2021-06-17,17:00
DK vs AF,2021-06-17,20:00
LSB vs HLE,2021-06-18,17:00
NS vs GEN,2021-06-18,20:00
DK vs DRX,2021-06-19,17:00
KT vs AF,2021-06-19,20:00
T1 vs LSB,2021-06-20,17:00
HLE vs BRO,2021-06-20,20:00
HLE vs AF,2021-06-23,17:00
BRO vs DK,2021-06-23,20:00
LSB vs GEN,2021-06-24,17:00
T1 vs NS,2021-06-24,20:00
KT vs DRX,2021-06-25,17:00
HLE vs DK,2021-06-25,20:00
GEN vs AF,2021-06-26,17:00
NS vs BRO,2021-06-26,20:00
T1 vs DRX,2021-06-27,17:00
LSB vs KT,2021-06-27,20:00
T1 vs KT,2021-06-30,17:00
GEN vs BRO,2021-06-30,20:00
HLE vs DRX,2021-07-01,17:00
LSB vs AF,2021-07-01,20:00
NS vs DK,2021-07-02,17:00
KT vs BRO,2021-07-02,20:00
T1 vs AF,2021-07-03,17:00
LSB vs DRX,2021-07-03,20:00
NS vs HLE,2021-07-04,17:00
GEN vs DK,2021-07-04,20:00
LSB vs DK,2021-07-07,17:00
NS vs AF,2021-07-07,20:00
KT vs HLE,2021-07-08,17:00
BRO vs DRX,2021-07-08,20:00
T1 vs GEN,2021-07-09,17:00
LSB vs AF,2021-07-09,20:00
KT vs BRO,2021-07-10,17:00
HLE vs DK,2021-07-10,20:00
GEN vs DRX,2021-07-11,17:00
T1 vs NS,2021-07-11,20:00
T1 vs KT,2021-07-15,17:00
NS vs DK,2021-07-15,20:00
BRO vs AF,2021-07-16,17:00
LSB vs DRX,2021-07-16,20:00
HLE vs GEN,2021-07-17,17:00
T1 vs DK,2021-07-17,20:00
BRO vs DRX,2021-07-18,17:00
NS vs KT,2021-07-18,20:00
LSB vs GEN,2021-07-22,17:00
T1 vs AF,2021-07-22,20:00
KT vs HLE,2021-07-23,17:00
NS vs BRO,2021-07-23,20:00
DK vs DRX,2021-07-24,17:00
T1 vs LSB,2021-07-24,20:00
GEN vs AF,2021-07-25,17:00
HLE vs BRO,2021-07-25,20:00
DK vs AF,2021-07-29,17:00
HLE vs DRX,2021-07-29,20:00
NS vs LSB,2021-07-30,17:00
KT vs GEN,2021-07-30,20:00
T1 vs BRO,2021-07-31,17:00
DRX vs AF,2021-07-31,20:00
NS vs HLE,2021-08-01,17:00
KT vs DK,2021-08-01,20:00
BRO vs DK,2021-08-05,17:00
LSB vs HLE,2021-08-05,20:00
KT vs DRX,2021-08-06,17:00
T1 vs GEN,2021-08-06,20:00
NS vs AF,2021-08-07,17:00
LSB vs BRO,2021-08-07,20:00
GEN vs DK,2021-08-08,17:00
T1 vs DRX,2021-08-08,20:00
HLE vs AF,2021-08-12,17:00
LSB vs KT,2021-08-12,20:00
GEN vs BRO,2021-08-13,17:00
NS vs DRX,2021-08-13,20:00
LSB vs DK,2021-08-14,17:00
KT vs AF,2021-08-14,20:00
T1 vs HLE,2021-08-15,17:00
NS vs GEN,2021-08-15,20:00
AF vs NS,2021-08-18,17:00
LSB vs T1,2021-08-19,17:00
DK vs NS,2021-08-21,17:00
GEN vs T1,2021-08-22,17:00
T1 vs DK,2021-08-28,17:00
LSB vs HLE,2021-08-31,17:00
NS vs HLE,2021-09-01,17:00
T1 vs HLE,2021-09-02,17:00
HLE vs LNG,2021-10-05,20:00
INF vs RED,2021-10-05,21:00
LNG vs PCE,2021-10-05,22:00
HLE vs INF,2021-10-05,23:00
UOL vs DFM,2021-10-06,00:00
GS vs BYG,2021-10-06,01:00
DFM vs C9,2021-10-06,02:00
UOL vs GS,2021-10-06,03:00
PCE vs HLE,2021-10-06,20:00
RED vs LNG,2021-10-06,21:00
