Subject,Start Date,Start Time
T1 vs DWG,2020-02-05,17:00
KT vs GEN,2020-02-05,20:00
SB vs APK,2020-02-06,17:00
GRF vs AF,2020-02-06,20:00
HLE vs T1,2020-02-07,17:00
DRX vs KT,2020-02-07,20:00
APK vs DWG,2020-02-08,17:00
GEN vs GRF,2020-02-08,20:00
SB vs DRX,2020-02-09,17:00
AF vs HLE,2020-02-09,20:00
APK vs AF,2020-02-12,17:00
GRF vs SB,2020-02-12,20:00
KT vs T1,2020-02-13,17:00
DRX vs HLE,2020-02-13,20:00
DWG vs GEN,2020-02-14,17:00
GRF vs APK,2020-02-14,20:00
AF vs DRX,2020-02-15,17:00
HLE vs SB,2020-02-15,20:00
DWG vs KT,2020-02-16,17:00
T1 vs GEN,2020-02-16,20:00
GEN vs HLE,2020-02-19,17:00
DRX vs T1,2020-02-19,20:00
GRF vs DWG,2020-02-20,17:00
KT vs APK,2020-02-20,20:00
SB vs AF,2020-02-21,17:00
DRX vs GEN,2020-02-21,20:00
HLE vs GRF,2020-02-22,17:00
APK vs T1,2020-02-22,20:00
AF vs KT,2020-02-23,17:00
SB vs DWG,2020-02-23,20:00
KT vs SB,2020-02-26,17:00
T1 vs GRF,2020-02-26,20:00
GEN vs AF,2020-02-27,17:00
HLE vs DWG,2020-02-27,20:00
APK vs DRX,2020-02-28,17:00
T1 vs SB,2020-02-28,20:00
KT vs HLE,2020-02-29,17:00
DWG vs AF,2020-02-29,20:00
GEN vs APK,2020-03-01,17:00
DRX vs GRF,2020-03-01,20:00
DWG vs DRX,2020-03-04,17:00
HLE vs APK,2020-03-04,20:00
SB vs GEN,2020-03-05,17:00
AF vs T1,2020-03-05,20:00
GRF vs KT,2020-03-06,17:00
DWG vs HLE,2020-03-06,20:00
SB vs T1,2020-03-07,17:00
GEN vs DRX,2020-03-07,20:00
AF vs GRF,2020-03-08,17:00
APK vs KT,2020-03-08,20:00
SB vs KT,2020-03-12,17:00
DRX vs APK,2020-03-12,20:00
T1 vs HLE,2020-03-13,17:00
AF vs DWG,2020-03-13,20:00
GRF vs GEN,2020-03-14,17:00
KT vs DRX,2020-03-14,20:00
T1 vs AF,2020-03-15,17:00
APK vs SB,2020-03-15,20:00
DWG vs GRF,2020-03-19,17:00
HLE vs KT,2020-03-19,20:00
GEN vs SB,2020-03-20,17:00
T1 vs APK,2020-03-20,20:00
DRX vs AF,2020-03-21,17:00
KT vs DWG,2020-03-21,20:00
GRF vs HLE,2020-03-22,17:00
GEN vs T1,2020-03-22,20:00
HLE vs DRX,2020-03-26,17:00
AF vs GEN,2020-03-26,20:00
DWG vs APK,2020-03-27,17:00
SB vs GRF,2020-03-27,20:00
T1 vs KT,2020-03-28,17:00
HLE vs AF,2020-03-28,20:00
APK vs GEN,2020-03-29,17:00
DRX vs SB,2020-03-29,20:00
T1 vs DRX,2020-04-02,17:00
GEN vs DWG,2020-04-02,20:00
AF vs SB,2020-04-03,17:00
KT vs GRF,2020-04-03,20:00
APK vs HLE,2020-04-04,17:00
DWG vs T1,2020-04-04,20:00
GRF vs DRX,2020-04-05,17:00
KT vs AF,2020-04-05,20:00
HLE vs GEN,2020-04-09,17:00
DWG vs SB,2020-04-09,20:00
GRF vs T1,2020-04-10,17:00
AF vs APK,2020-04-10,20:00
DRX vs DWG,2020-04-11,17:00
SB vs HLE,2020-04-11,20:00
GEN vs KT,2020-04-12,17:00
APK vs GRF,2020-04-12,20:00
